variety,type,trait,domain,maturity_ds,maturity_ws,yield
IPB Var 13,OPV,Yellow,Visayas,107,102,6.76
IPB Comp 3,OPV,Yellow,National,104,101,6.27
Mt. Apo Cristal 800w,OPV,White,Luzon,108,102,5.78
Mt. Apo Cristal 800w,OPV,White,Visayas,108,102,5.78
IPB Var 8,OPV,White,Luzon,105,98,5.32
IPB Var 8,OPV,White,Mindanao,105,98,5.32
Var 6,OPV,White,Luzon,105,101,5.84
Var 6,OPV,White,Visayas,105,101,5.84
DK 5885 RRC2,Hybrid Genetically Modified,Other,National,107,105,7.07
BC 9543,Hybrid,Yellow,Luzon,108,105,6.86
BC 9543,Hybrid,Yellow,Visayas,108,105,6.86
CW 1407,Hybrid,Yellow,Mindanao,101,103,5.71
30B48,Hybrid,Yellow,Mindanao,106,105,6.2
NK 6297,Hybrid,Yellow,Luzon,109,105,6.45
NK 6297,Hybrid,Yellow,Mindanao,109,105,6.45
CW 159W,Hybrid,White,Visayas,106,107,6.26
CW 159W,Hybrid,White,Mindanao,106,107,6.26
NK 5012W,Hybrid,White,Visayas,106,102,7.02
NK 5013W,Hybrid,White,Visayas,103.7,103,6.56
X7B 445,Hybrid,Yellow,Mindanao,103,106,7.18
Healer 101,Hybrid,Yellow,Luzon,105,102,7.93
KK 168,Hybrid,Yellow,Mindanao,108,104,6.39
S 6208,Hybrid,Yellow,National,108,105,7.29
S 6218,Hybrid,Yellow,National,107.6,106,7.31
P 3776,Hybrid,Yellow,Luzon,106,102,7.93
P 3776,Hybrid,Yellow,Visayas,106,102,7.93
TF 8129,Hybrid,Yellow,Luzon,110,106,7.99
TF 8129,Hybrid,Yellow,Mindanao,110,106,7.99
PD 8230,Hybrid,Yellow,Luzon,105,103,7.66
PD 8230,Hybrid,Yellow,Mindanao,105,103,7.66
BC 81163,Hybrid,Yellow,Luzon,109,107,7.17
BC 81163,Hybrid,Yellow,Mindanao,109,107,7.17
BC 42683,Hybrid,Yellow,Luzon,109,106,7.48
DANA 1107,Hybrid,Yellow,Luzon,105,101,7.18
DANA 1107,Hybrid,Yellow,Visayas,105,101,7.18
DANA 8255,Hybrid,Yellow,Luzon,106,102,6.97
DANA 8255,Hybrid,Yellow,Visayas,106,102,6.97
TSG 222,Hybrid,Yellow,Luzon,111,103,7.4
TSG 222,Hybrid,Yellow,Mindanao,111,103,7.4
TSG 361,Hybrid,Yellow,Luzon,100,109,7.21
TSG 361,Hybrid,Yellow,Mindanao,100,109,7.21
CW 112w,Hybrid,White,Visayas,104,102,6.81
TSG 108w,Hybrid,White,Visayas,100,103,6.55
TSG 108w,Hybrid,White,Mindanao,100,103,6.55
USM Var 30,Hybrid,White,Visayas,100,103,6.23
BIO #1,OPV,White,Mindanao,106,103,5.19
USM Var 28,OPV,White,Visayas,100,103,4.59
MMSU Glut 1,OPV Glutinous Corn,White,Luzon,99,94,5.61
H 212 wx Glut,OPV Glutinous Corn,White,Luzon,105,100,5
SAMPANN,Hybrid,Yellow,Luzon,108,106,7.93
S 6219,Hybrid,Yellow,National,107,108,8.2
S 6259,Hybrid,Yellow,National,107,103,8.08
J757,Hybrid,Yellow,Visayas,102,102,7.26
